id;wkt_a;wkt_b;real_result_polygon_count;real_result_area;epeck_result_polygon_count;epeck_result_area;bg_polygon_count;bg_area;real_error_area;epeck_error_area;status
case_1_difference; POLYGON((0 1,2 5,5 3,0 1)); POLYGON((3 0,0 3,4 5,3 0)); 3; 2.52637; 3; 2.52637; 3; 2.52637; 0; 8.60099e-16; OK
ccw_case_1_difference; POLYGON((0 1,5 3,2 5,0 1)); POLYGON((3 0,4 5,0 3,3 0)); 3; 2.52637; 3; 2.52637; 3; 2.52637; 0; 8.60099e-16; OK
open_case_1_difference; POLYGON((0 1,2 5,5 3)); POLYGON((3 0,0 3,4 5)); 3; 2.52637; 3; 2.52637; 3; 2.52637; 0; 8.60099e-16; OK
case_2_difference; POLYGON((0 2,2 5,5 3,3 0,0 2)); POLYGON((0 4,4 5,5 1,1 0,0 4)); 4; 0.94545; 4; 0.945455; 4; 0.945455; 0; 1.09407e-15; OK
case_3_difference; POLYGON((1 2,2 4,4 3,3 1,1 2)); POLYGON((1 1,1 4,4 4,4 1,1 1)); 0; 0; 0; 0; 0; 0; 0; 0; OK
case_3_sph_difference; POLYGON((1 2,2 4.0012148518458881,4 3,3.0001521347633209 1.0003046174216719,1 2)); POLYGON((1 1,1 4,4 4,4 1,1 1)); 1; 1.84282e-6; 1; 1.84282e-06; 1; 1.84282e-06; 0; 1.26292e-19; OK
case_3_2_difference; POLYGON((1 1,1 2,1 4,2 4,4 4,4 3,4 1,3 1,1 1)); POLYGON((1 1,1 4,4 4,4 1,1 1)); 0; 0; 0; 0; 0; 0; 0; 0; OK
case_3_2_sph_difference; POLYGON((1 1,1 2,1 4,2 4.0012148518458881,4 4, 4 3,4 1,3.0001521347633209 1.0003046174216719,1 1)); POLYGON((1 1,1 4,4 4,4 1,1 1)); 1; 0.00182; 1; 0.00182228; 1; 0.00182228; 0; 0; OK
case_4_difference; POLYGON((0 2,2 5,5 3,3 0,0 2)); POLYGON((0 4,4 5,5 1,1 0,0 4),(1 1,2 1,2 2,1 2,1 1),(3 3,4 3,4 4,3 4,3 3)); 6; 2.77879; 6; 2.77879; 6; 2.77879; 0; 1.14959e-15; OK
case_5_difference; POLYGON((0 4,1 5,2.5 4,3.5 5,5 4,4 3,5 2,4 1,3.5 0,3 1,2.5 0,2 1,1.5 0,1 3.5,0.25 3,1 2.5,0 2,0 4)); POLYGON((0.5 0.5,0.5 4.5,4.5 4.5,4.5 0.5,0.5 0.5)); 7; 2.43452; 7; 2.43452; 8; 2.43452; 0; 1.92967e-16; OK
case_6_difference; POLYGON((0 1,2 5,5 2,0 1)); POLYGON((1 3,2 5,5 2,1 3)); 1; 4.50000; 1; 4.5; 1; 4.5; 0; 0; OK
case_6_sph_difference; POLYGON((0 1,2 5,5 2,0 1)); POLYGON((0.99816884334995659 3.0004544452169379,2 5,5 2,0.99816884334995659 3.0004544452169379)); 1; 4.49999; 1; 4.49999; 1; 4.49999; 0; 5.13943e-16; OK
case_7_difference; POLYGON((0 1,1 3,5 2,0 1)); POLYGON((1 3,2 5,5 2,1 3)); 1; 4.50000; 1; 4.5; 1; 4.5; 0; 0; OK
case_8_difference; POLYGON((0 0,0 4,4 0,0 0)); POLYGON((1 3,4 4,3 1,1 3)); 1; 8.; 1; 8; 1; 8; 0; 0; OK
case_8_sph_difference; POLYGON((0 0,0 4,4 0,0 0)); POLYGON((1.0023984691325358 3.0008039480973441,4 4,3.0005710779764270 1.0017165445544389,1.0023984691325358 3.0008039480973441)); 1; 8.; 1; 8; 1; 8; 0; 0; OK
case_9_difference; POLYGON((0 0,0 4,4 0,0 0)); POLYGON((2 2,2 4,5 4,2 2)); 1; 8.; 1; 8; 1; 8; 0; 0; OK
case_9_sph_difference; POLYGON((0 0,0 4,4 0,0 0)); POLYGON((2.0021918671997510 2.0014662914956771,2 4,5 4,2.0021918671997510 2.0014662914956771)); 1; 8.; 1; 8; 1; 8; 0; 0; OK
ccw_case_9_difference; POLYGON((0 0,4 0,0 4,0 0)); POLYGON((2 2,5 4,2 4,2 2)); 1; 8.; 1; 8; 1; 8; 0; 0; OK
open_case_9_difference; POLYGON((0 0,0 4,4 0)); POLYGON((2 2,2 4,5 4)); 1; 8.; 1; 8; 1; 8; 0; 0; OK
case_10_difference; POLYGON((0 0,2 4,4 0,0 0)); POLYGON((1 2,2 5,3 2,2 4,1 2)); 1; 8.; 1; 8; 1; 8; 0; 0; OK
case_10_sph_difference; POLYGON((0 0,2 4,4 0,0 0)); POLYGON((1.0027234797707729 2.0081941097810105,2 5,2.9972765202292275 2.0081941097810105,2 4,1.0027234797707729 2.0081941097810105)); 1; 8.; 1; 8; 1; 8; 0; 0; OK
case_11_difference; POLYGON((0 0,0 4,4 0,0 0)); POLYGON((1 2,2 2,2 1,1 1)); 1; 7.; 1; 7; 1; 7; 0; 0; OK
case_11_sph_difference; POLYGON((0 0,0 4,4 0,0 0)); POLYGON((1 2,2 2.0036594926050890,2 1,1 1)); 1; 6.99818; 1; 6.99818; 1; 6.99818; 0; 5.471e-17; OK
case_12_difference; POLYGON((0 1,1 4,2 2,3 4,4 1,0 1)); POLYGON((0 3,2 4,4 3,0 3)); 3; 6.36667; 3; 6.36667; 3; 6.36667; 0; 3.18264e-16; OK
case_13_difference; POLYGON((0 1,1 2,3 0,0 1)); POLYGON((0 3,2 3,2 1,0 3)); 1; 2.; 1; 2; 1; 2; 0; 0; OK
case_13_sph_difference; POLYGON((0 1,1 2,3 0,0 1)); POLYGON((0 2.9977189008308094,2 3,2 1.0004570537241211,0 2.9977189008308094)); 1; 1.99970; 1; 1.9997; 1; 1.9997; 0; 2.09391e-16; OK
case_14_difference; POLYGON((0 0,0 4,2 2,4 0,0 0)); POLYGON((1 3,4 4,3 1,1 3)); 1; 8.; 1; 8; 1; 8; 0; 0; OK
case_14_sph_difference; POLYGON((0 0,0 4,2 2.0036594926050877,4 0,0 0)); POLYGON((1.0023984691325358 3.0008039480973441,4 4,3.0005710779764270 1.0017165445544389,1.0023984691325358 3.0008039480973441)); 1; 8.00683; 1; 8.00683; 1; 8.00683; 0; 4.08855e-16; OK
case_15_difference; POLYGON((0 0,0 4,1.5 2.5,2.5 1.5,4 0,0 0)); POLYGON((1 3,4 4,3 1,1 3)); 1; 8.; 1; 8; 1; 8; 0; 0; OK
case_15_sph_difference; POLYGON((0 0,0 4,1.5 2.5037147591481679,2.5 1.5031461368777814,4 0,0 0)); POLYGON((1.0023984691325358 3.0008039480973441,4 4,3.0005710779764270 1.0017165445544389,1.0023984691325358 3.0008039480973441)); 1; 8.00768; 1; 8.00768; 1; 8.00768; 0; 6.88352e-16; OK
case_16_difference; POLYGON((1 2,3 4,2 1,1 2)); POLYGON((1 0,1 2,2 1,3 4,2 3,3 5,4 0,1 0)); 1; 2.; 1; 2; 1; 2; 0; 0; OK
case_16_sph_difference; POLYGON((1 2,3 4,2 1,1 2)); POLYGON((1 0,1 2,2 1,3 4,2.0013644968330810 3.0027358616998980,3 5,4 0,1 0)); 1; 2.; 1; 2; 1; 2; 0; 0; OK
case_17_difference; POLYGON((0 0,0 4,4 0,0 0)); POLYGON((1 1,1 3,3 1,1 1)); 1; 6.; 1; 6; 1; 6; 0; 0; OK
case_17_sph_difference; POLYGON((0 0,0 4,4 0,0 0)); POLYGON((1 1,1 3.0031983963093531,3 1.0022887548647623,1 1)); 1; 6.00229; 1; 6.00229; 1; 6.00229; 0; 1.6307e-16; OK
case_18_difference; POLYGON((0 0,0 4,1.5 2.5,2.5 1.5,4 0,0 0)); POLYGON((1 1,1 3,3 1,1 1)); 1; 6.; 1; 6; 1; 6; 0; 0; OK
case_18_sph_difference; POLYGON((0 0,0 4,1.5 2.5037147591481679,2.5 1.5031461368777814,4 0,0 0)); POLYGON((1 1,1 3.0031983963093531,3 1.0022887548647623,1 1)); 2; 6.00548; 2; 6.00548; 2; 6.00548; 0; 4.76058e-16; OK
case_19_difference; POLYGON((2 0,1 3,5 2,2 0)); POLYGON((1 3,2 5,5 2,1 3)); 1; 5.50000; 1; 5.5; 1; 5.5; 0; 0; OK
case_20_difference; POLYGON((2 0,1 3,5 2,2 0)); POLYGON((2 0,1 3,5 2,2 0)); 0; 0; 0; 0; 0; 0; 0; 0; OK
case_21_difference; POLYGON((1 0,0 5,5 2,1 0),(2 1,3 2,1 3,2 1)); POLYGON((2 1,1 3,3 2,2 1)); 1; 9.50000; 1; 9.5; 1; 9.5; 0; 0; OK
case_22_difference; POLYGON((1 0,0 3,4 2,1 0)); POLYGON((2 4,5 5,4 2,2 4)); 1; 5.50000; 1; 5.5; 1; 5.5; 0; 0; OK
case_23_difference; POLYGON((1 0,0 3,4 2,1 0)); POLYGON((3 3,4 2,1 1,3 3)); 1; 4.10000; 1; 4.1; 1; 4.1; 0; 1.33227e-16; OK
case_24_difference; POLYGON((1 0,0 3,4 2,1 0)); POLYGON((2 2,4 2,1 1,2 2)); 1; 4.50000; 1; 4.5; 1; 4.5; 0; 0; OK
case_25_difference; POLYGON((1 0,0 3,4 2,1 0)); POLYGON((3 1,4 2,5 0,3 1)); 1; 5.50000; 1; 5.5; 1; 5.5; 0; 0; OK
case_26_difference; POLYGON((1 0,0 3,4 2,1 0)); POLYGON((3 1,4 2,5 4,4 0,3 1)); 1; 5.50000; 1; 5.5; 1; 5.5; 0; 0; OK
case_27_difference; POLYGON((1 0,0 3,4 2,1 0)); POLYGON((1 1,4 2,5 0,1 1)); 1; 4.54545; 1; 4.54545; 1; 4.54545; 0; 4.03717e-17; OK
case_28_difference; POLYGON((1 0,0 3,4 2,1 0)); POLYGON((1 1,4 2,5 4,5 0,1 1)); 1; 4.54545; 1; 4.54545; 1; 4.54545; 0; 4.03717e-17; OK
case_29_difference; POLYGON((1 0,0 3,4 2,1 0)); POLYGON((4 4,5 1,4 2,1 1,4 4)); 1; 4.10000; 1; 4.1; 1; 4.1; 0; 1.33227e-16; OK
case_30_difference; POLYGON((1 0,0 3,2 2,3 3,1 0)); POLYGON((1 2,2 2,2 4,4 3,3 1,1 2)); 1; 2.50000; 1; 2.5; 1; 2.5; 0; 0; OK
case_31_difference; POLYGON((0 0,0 3,2 2,0 0)); POLYGON((4 1,2 2,3 3,4 1)); 1; 3.; 1; 3; 1; 3; 0; 0; OK
case_32_difference; POLYGON((0 0,0 3,2 2,0 0)); POLYGON((4 1,3 0,2 2,4 1)); 1; 3.; 1; 3; 1; 3; 0; 0; OK
case_33_difference; POLYGON((0 0,0 3,2 2,0 0)); POLYGON((3 3,3 0,2 2,3 3)); 1; 3.; 1; 3; 1; 3; 0; 0; OK
case_34_difference; POLYGON((2 0,0 3,4 2,2 0)); POLYGON((2 1,4 2,5 3,4 1,2 1)); 1; 4.50000; 1; 4.5; 1; 4.5; 0; 0; OK
case_35_difference; POLYGON((1 0,0 3,5 3,4 2,5 1,1 0)); POLYGON((2 2,4 2,4 1,2 2)); 1; 9.50000; 1; 9.5; 1; 9.5; 0; 0; OK
